,videoId,publishedAt,channelID,title,channelTitle,viewCount,channelType
78,aJAsiZN1muU,2022-12-03T17:00:00Z,UCkNYoWK1LqjFhxYI6BM_kOA,2 PROS vs. 5 Rocket League AI... who wins?,Lethamyr,187951,"['/m/02ntfj', '/m/022dc6', '/m/0bzvm2', '/m/025zzc', '/m/01sjng', '/m/03hf_rm']"
79,v3Dc9feQS6o,2023-02-16T20:26:15Z,UCc_ycus0q7DSd85ZkmEY5ig,Is Bing Winning the AI War?,Waveform Clips,185616,"['/m/07c1v', '/m/019_rr']"
80,aZ9m5C0esCU,2023-01-29T21:19:36Z,UCP99edZplY2BJOak7frepsQ,"War Pigs by Black Sabbath, but every lyric is an AI generated image",AI Generated Art by Surya,169011,"['/m/04rlf', '/m/06by7', '/m/02jjt']"
81,o8GtLLKLz6o,2023-02-26T14:00:34Z,UCdalg9RN63ZRty3JajeErmA,That One Guy Skibidi Dance Animated by Ai vs Original #shorts #viral,bobdealan,157298,"['/m/04rlf', '/m/02jjt', '/m/064t9']"
82,V_H_YOnWaIs,2023-01-17T00:05:15Z,UC8JRgCz8pVHu5XH4A8My17g,"AI Animation comparing 3d model vs AI vs human corrections, effects",Kami Otaku,147989,"['/m/04rlf', '/m/02lkt', '/m/02jjt', '/m/02vxn']"
83,i49dGwTgOPg,2023-02-09T13:43:14Z,UCrp_UI8XtuYfpiqluWLD7Lw,Apple co-founder Steve Wozniak discusses AI race between Google and Microsoft,CNBC Television,146131,"['/m/098wr', '/m/01k8wb']"
84,dW0YE0QwOW4,2023-01-30T02:00:11Z,UCWA5c-eNEUAwWnsz-6izHZQ,"AI Girlfriend Vs Real Boy, Revealed Who Will Win In Ai Vs Human Mind | Movie Explained in Hindi Urdu",Mr Hindi Rockers,136090,"['/m/02jjt', '/m/02vxn']"
85,pR6zWey8Fh4,2023-02-28T22:59:25Z,UCH_zBfX_o5GDZwevkh1jl9Q,¡ChatGPT vs BING! La inteligencia artificial a prueba!,Nate Live,129282,"['/m/019_rr', '/m/0bzvm2', '/m/025zzc', '/m/07c1v']"
86,JbOZEnyY9Pw,2023-02-24T12:02:53Z,UCm4eA46c6boHmPrD0Lp2iEg,Belajar dari GAGALNYA GOOGLE di AI WAR ( RUGI 1.500 Trilliun ) #BedahBisnis,Raymond Chin,114615,"['/m/098wr', '/m/01k8wb']"
87,u1LMIincUYk,2023-02-21T22:14:59Z,UCXvSBrkn3C9ryKKjdDrYnVw,The Presidents Play War Thunder (AI Voice Meme),emrld,111992,"['/m/025zzc', '/m/0403l3g', '/m/0bzvm2', '/m/02ntfj', '/m/03hf_rm']"
88,PPDL3dwG2_4,2023-02-16T15:28:06Z,UCqK_GSMbpiV8spgD3ZGloSw,"JP Morgan Trading Insights: Crypto, AI, War, &amp; Inflation!",Coin Bureau,102023,"['/m/098wr', '/m/01k8wb']"
89,G8oyOeOCl0s,2023-02-11T18:39:11Z,UCfzlCWGWYyIQ0aLC5w48gBQ,The AI wars: Google vs Bing (ChatGPT),sentdex,101530,"['/m/01k8wb', '/m/07c1v', '/m/019_rr']"
90,_CGWAfwEcGw,2023-02-08T13:20:00Z,UC8HpVK4LFl1s1IbudzSjR9Q,Skibidi bop yes yes yes AI VS That One Guy VS MrBeast,Meme Ben,97841,"['/m/02vxn', '/m/02jjt']"
91,aLaxCdTNBuI,2023-01-13T17:59:00Z,UCpLfM1_MIcIQ3jweRT19LVw,Editing Challenge: A.I. vs Professional Editor,Cinecom.net,90530,"['/m/02jjt', '/m/019_rr', '/m/07c1v']"
92,L2ue_Cfb3E0,2023-02-25T15:53:26Z,UCS84kz7Fs8bzRs6xcPY9lQQ,Layoff 2023 | ChatGPT vs No Jobs | AI உங்கள் வேலையை திருடுமா | Tamil | Pokkisham,Tamil Pokkisham,73685,['/m/098wr']
93,Qp8sRedhE-4,2022-12-13T08:45:33Z,UClis21-nGFunHa9agc7Md_Q,ChatGPT vs Hacker ! SonarSource Kaynak Kod Analizi ile Zafiyet Tespiti Challenge&#39;ı,Mehmet D. INCE,72644,"['/m/019_rr', '/m/07c1v', '/m/0bzvm2', '/m/01k8wb']"
94,OyJzjv_-AwY,2023-02-14T12:00:14Z,UChDxbOUQRXEZ1zdI14Zyx9w,Martin vs ChatGPT 😂,Chess Vibes,70533,"['/m/0bzvm2', '/m/03glg', '/m/019_rr']"
95,4uxz4nqZvX8,2023-01-31T16:30:00Z,UCns4T9U8VSIRovKa1a_r7rA,Undisputed Early Access Gameplay - AI Fight - Tyson Fury Vs Usyk,GameRiot,75343,"['/m/02ntfj', '/m/0bzvm2', '/m/025zzc', '/m/03hf_rm', '/m/01sjng', '/m/0403l3g']"
96,eTs6z2tGWvI,2023-01-29T19:24:39Z,UCeU_MLvxkH_yg0UttG8IJHQ,"AI vs. In-n-out, who makes better animal style fries? #shorts",HashSlingers,67647,"['/m/019_rr', '/m/02wbm']"
97,BpXq4e2S3uc,2022-12-03T06:00:03Z,UCHj_iUpiS1I6fPYFu2KLZXQ,[禽獸朋友們] AI vs 秀diang,短漫,65888,"['/m/02jjt', '/m/02vxn']"
98,RFIiDeO3EWU,2023-02-25T12:00:29Z,UCBj9S8TBRlCU4QnhTEOdWZQ,Notion AI vs ChatGPT 全面对比，$10 值不值的花，看这一部影片就够了。附彩蛋一枚 | 回到Axton,回到Axton,62923,['/m/01k8wb']
99,21efvr4pM_E,2023-02-06T01:03:23Z,UCeU_MLvxkH_yg0UttG8IJHQ,"AI vs. Maangchi, who makes better korean fried chicken? #shorts",HashSlingers,63052,"['/m/02wbm', '/m/019_rr']"
100,2xrz3O0nINo,2022-12-12T17:06:29Z,UC_35hRJlT4PEmvFCcU6l_3Q,Robot Vs Human Bake Off #shorts #artificialintelligence #cake #chocolate #chatgpt,Patrick Zeinali,28494006,"['/m/019_rr', '/m/02wbm']"
101,7sP2WyLln9A,2023-01-12T21:58:19Z,UCeU_MLvxkH_yg0UttG8IJHQ,"AI vs. Uncle Roger, who makes better egg fried rice? #shorts",HashSlingers,5235162,"['/m/019_rr', '/m/02wbm']"
102,U0bSzTSOv00,2023-02-05T01:05:11Z,UCPG-kUxVpjZWFAJeCwS4cQw,Gordon Ramsay VS AI Scrambled Eggs!,Blatant Reviews,3193822,"['/m/02wbm', '/m/019_rr']"
103,5X1O5AS4nTc,2023-02-09T19:14:22Z,UC4QZ_LsYcvcq7qOsOhpAX4A,Google Embarrass Themselves (A.I. War Is Heating Up),ColdFusion,2271176,"['/m/019_rr', '/m/07c1v', '/m/098wr']"
104,Nh5i5obZ8OY,2023-02-06T15:10:53Z,UC4QZ_LsYcvcq7qOsOhpAX4A,Google Panics Over ChatGPT [The AI Wars Have Begun],ColdFusion,2222187,"['/m/07c1v', '/m/098wr', '/m/019_rr']"
105,XqCIE32T0Fg,2023-01-26T20:55:06Z,UCeU_MLvxkH_yg0UttG8IJHQ,"AI vs. GoldenGully, who makes better mango kulfi?",HashSlingers,1559589,"['/m/019_rr', '/m/02wbm']"
106,abcqovTaavI,2023-01-14T18:35:04Z,UCDQBZcjYKP1J1Nu-Y0_D37Q,The War on AI,Tabbes,1442598,"['/m/02jjt', '/m/03glg', '/m/02vxn', '/m/019_rr']"
107,4EHvaQB2VIc,2023-01-15T23:04:54Z,UC_q5WZtFp36adwqhKpZzxwQ,I Tested Fortnite&#39;s New AI Bot against CLIX!,SypherPK,1358919,"['/m/0403l3g', '/m/025zzc', '/m/02ntfj', '/m/0bzvm2']"
