,videoId,publishedAt,channelID,title,channelTitle,viewCount,channelType
2278,Qfm2A6aIQOA,2022-02-23T16:00:27Z,UCCRdB9rqzP2m7bPYb5drH_Q,Highest Rated StarCraft II AI&#39;s FIGHT Each other (Eris vs MicroMachine),Harstem,351871,"['/m/0bzvm2', '/m/025zzc', '/m/03hf_rm', '/m/0403l3g']"
2279,swMMWiPiEjc,2022-02-13T16:18:56Z,UCCRdB9rqzP2m7bPYb5drH_Q,Progamer vs the HIGHEST Ranked BOT (Eris) on the Sc2 AI Ladder,Harstem,270100,"['/m/0bzvm2', '/m/025zzc', '/m/03hf_rm', '/m/0403l3g']"
2280,qEVx5t5l6Zw,2022-08-07T22:07:40Z,UCOT48Yf56XBpT5WitpnFVrQ,AI Vs Human Drone Race - Zurich University,BMSWEB,255766,"['/m/07c1v', '/m/019_rr', '/m/03glg']"
2281,Py7xJyQguEg,2022-11-26T18:00:17Z,UC--TKxqP8xJNymgrLe-thhA,1 Terran Grandmaster vs 10 Random ELITE A.I. (WORLD RECORD),uThermal,245374,"['/m/025zzc', '/m/0403l3g', '/m/0bzvm2', '/m/03hf_rm']"
2282,qzf6PhL2k6E,2022-11-22T22:17:42Z,UC8JRgCz8pVHu5XH4A8My17g,"AI Animation test comparing 3d model vs AI vs human corrections, effects",Kami Otaku,244623,"['/m/02jjt', '/m/04rlf', '/m/02vxn', '/m/02lkt']"
2283,HD2_PHpxv9g,2022-11-03T10:52:55Z,UCMT1Aw4R4nf_sFNDeuJqc6w,AI vs Spinner,AI Warehouse,241284,"['/m/0403l3g', '/m/04q1x3q', '/m/0bzvm2']"
2284,pVxUSpekX28,2022-11-15T18:02:46Z,UCkg2ZDee9ZLBCd2LVB6DPHA,HUMAN vs AI - Who Can Build The Better Drag Car in BeamNG?!?,AR12Gaming,194528,"['/m/02ntfj', '/m/01sjng', '/m/0bzvm2', '/m/025zzc']"
2285,QUz0vSJdSv0,2022-10-16T08:16:43Z,UCpxpT6-Y0VS4Awa2ve9-WvQ,Black Sabbath - War Pigs but every lyric is an AI generated image,AI Art,176196,"['/m/06by7', '/m/04rlf']"
2286,fnkN4gyDP-w,2022-07-27T18:30:39Z,UCD_TnabkkCP_bHi-Z40obTA,Team Swords vs Team Hand-to-Hand Combat. Smart AI NPC Fights in Overgrowth,NPC WORLD,172595,"['/m/025zzc', '/m/02ntfj', '/m/0bzvm2']"
2287,Gj4MA9SE05M,2022-10-15T13:05:12Z,UC83p7qF8MCwhLfxKHbbDd2g,Ai Magase vs other manipulators,Acid Ninja,156369,"['/m/02vxn', '/m/02jjt']"
2288,OKTcG0mJgxs,2022-03-26T15:14:45Z,UClRdPI_hm5DIl1G1SNh9oMQ,[HoI4] Double Timelapse - Vanilla AI VS Expert AI,GameWatcher Timelapse,146403,"['/m/025zzc', '/m/03hf_rm', '/m/0bzvm2', '/m/0403l3g']"
2289,EsQgD9yNMxU,2022-07-29T17:30:23Z,UCLEVrhumRsK67JkP3G4w5cQ,Pro Artist vs AI Art: maybe we can be friends?,Ross Draws,139076,"['/m/019_rr', '/m/03glg']"
2290,XZaLDdHiBNI,2022-05-20T21:55:38Z,UC7WNZQb14M9X6whT6WMsWoQ,F1 22 Gameplay - 0% AI vs No Assists on a Controller,Tiametmarduk,136047,"['/m/022dc6', '/m/03hf_rm', '/m/0bzvm2', '/m/01sjng']"
