,id,title,views,author,channel_url,duration
73,73,Coppé - I Lick My Brain In Silence,30399,slvgdvg,https://www.youtube.com/channel/UCo7V0qVLXMJ2pTqmKQyrXXQ,150
74,74,數字拳,10307,Jerry Yang,https://www.youtube.com/channel/UCjeJRYEOR4H590mrMPt7L9A,52
75,75,ride with the 508,16420,derick miceli,https://www.youtube.com/channel/UCKNCvXhAb5HuPij6U-Qy2TQ,201
76,76,Time to Convert to DVD,7819,slvgdvg,https://www.youtube.com/channel/UCo7V0qVLXMJ2pTqmKQyrXXQ,14
77,77,Swedish Helicopter Crash,7155434,slvgdvg,https://www.youtube.com/channel/UCo7V0qVLXMJ2pTqmKQyrXXQ,90
78,78,"Worst Singing Ever, In a Stadium Setting",2924117,slvgdvg,https://www.youtube.com/channel/UCo7V0qVLXMJ2pTqmKQyrXXQ,156
79,79,Lighthouse at night,10997,hedger,https://www.youtube.com/channel/UCyOFU_SUQmF9QJSj2sbIzLA,21
80,80,My great trip to Niagra,3147,readydeady,https://www.youtube.com/channel/UCgAujHFUCn9PavZWrhcnTTQ,99
81,81,UtrechtNoord2005,653574,Tweewielersnoord,https://www.youtube.com/channel/UCq9WaT-96X9hArX7dfRO2uw,601
82,82,River Otter in Central Park Zoo,5866,TH,https://www.youtube.com/channel/UCBiyXPLa0sGPzoMA_AUqMvQ,13
83,83,The Gates NYC,1529,readydeady,https://www.youtube.com/channel/UCgAujHFUCn9PavZWrhcnTTQ,6
84,84,nyce gates,957,readydeady,https://www.youtube.com/channel/UCgAujHFUCn9PavZWrhcnTTQ,6
85,85,Niagra,2017,readydeady,https://www.youtube.com/channel/UCgAujHFUCn9PavZWrhcnTTQ,17
86,86,niagra,1508,readydeady,https://www.youtube.com/channel/UCgAujHFUCn9PavZWrhcnTTQ,16
87,87,niagra,1210,readydeady,https://www.youtube.com/channel/UCgAujHFUCn9PavZWrhcnTTQ,2
88,88,niagra,1017,readydeady,https://www.youtube.com/channel/UCgAujHFUCn9PavZWrhcnTTQ,6
89,89,niagra,984,readydeady,https://www.youtube.com/channel/UCgAujHFUCn9PavZWrhcnTTQ,7
90,90,niagra,1095,readydeady,https://www.youtube.com/channel/UCgAujHFUCn9PavZWrhcnTTQ,7
91,91,niagra,1401,readydeady,https://www.youtube.com/channel/UCgAujHFUCn9PavZWrhcnTTQ,5
92,92,My Twin & I Dancing!!,2570,WhitneyLee,https://www.youtube.com/channel/UCmhV64SsQHHxAuNGMNi6SDw,40
93,93,Dance Luke & Kylie DANCE!!,4166,WhitneyLee,https://www.youtube.com/channel/UCmhV64SsQHHxAuNGMNi6SDw,19
